interview_id,role,model,num_samples,ca_score,ca_confidence,ca_std,exp_score,exp_confidence,exp_std,ps_score,ps_confidence,ps_std,rel_score,rel_confidence,rel_std,prof_score,prof_confidence,prof_std,comm_score,comm_confidence,comm_std,overall_weighted_score,avg_latency_ms,total_cost,avg_cost_per_sample
customer_service_representative_001,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,5,4.0,medium,0.9797958971132712,4.0,high,0.0,6.0,high,0.0,5.0,high,0.0,6.0,high,0.0,7.0,medium,0.8944271909999159,4.6,1291.8824195861816,0.0,0.0
customer_service_representative_002,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,5,4.0,high,0.0,4.0,high,0.0,4.0,high,1.0954451150103321,5.0,high,0.4898979485566356,4.0,high,0.8,8.0,medium,0.9797958971132712,4.25,1452.333641052246,0.0,0.0
customer_service_representative_003,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,5,4.0,high,0.0,6.0,high,0.0,5.0,high,0.39999999999999997,6.0,high,0.0,7.0,high,0.39999999999999997,8.0,high,0.0,5.3,1224.321699142456,0.0,0.0
customer_service_representative_004,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,5,4.0,high,0.7999999999999999,4.0,high,0.0,5.0,high,0.48989794855663565,3.0,high,0.8,6.0,high,0.0,8.0,medium,0.9797958971132712,4.4,1253.8386344909668,0.0,0.0
customer_service_representative_005,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,5,4.0,high,0.0,4.0,high,0.0,3.0,high,0.4898979485566356,2.0,high,0.4898979485566356,4.0,high,0.0,6.0,high,0.0,3.85,1310.5388164520264,0.0,0.0
customer_service_representative_006,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,5,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,7.0,high,0.39999999999999997,8.0,high,0.0,9.0,high,0.0,7.65,1155.0625324249268,0.0,0.0
customer_service_representative_007,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,5,4.0,high,0.7999999999999999,4.0,high,0.0,4.0,high,0.9797958971132712,4.0,high,0.4898979485566356,6.0,high,0.0,6.0,high,0.0,4.2,1316.9867515563965,0.0,0.0
customer_service_representative_008,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,5,8.0,high,0.0,8.0,high,0.0,9.0,high,0.0,8.0,high,0.0,9.0,high,0.0,9.0,high,0.0,8.25,1367.3701286315918,0.0,0.0
customer_service_representative_009,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,5,8.0,high,0.0,7.0,high,0.48989794855663565,8.0,high,0.48989794855663565,7.0,high,0.48989794855663565,8.0,high,0.48989794855663565,9.0,high,0.0,7.65,1239.1897201538086,0.0,0.0
customer_service_representative_010,Customer Service Representative,meta-llama/Llama-3.1-8B-Instruct:novita,5,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,9.0,high,0.0,7.65,1228.7019729614258,0.0,0.0
