interview_id,role,model,num_samples,ca_score,ca_confidence,ca_std,exp_score,exp_confidence,exp_std,ps_score,ps_confidence,ps_std,rel_score,rel_confidence,rel_std,prof_score,prof_confidence,prof_std,comm_score,comm_confidence,comm_std,overall_weighted_score,avg_latency_ms,total_cost,avg_cost_per_sample
customer_service_representative_001,Customer Service Representative,gpt-4o,5,4.0,high,0.0,3.0,high,0.0,5.0,high,0.0,5.0,high,0.0,5.0,high,0.0,4.0,high,0.0,3.9,1136.8080139160156,0.020550000000000006,0.004110000000000001
customer_service_representative_002,Customer Service Representative,gpt-4o,5,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,4.0,high,0.0,4.0,high,0.0,4.0,high,0.39999999999999997,2.8,1167.3847198486328,0.0184125,0.0036824999999999996
customer_service_representative_003,Customer Service Representative,gpt-4o,5,4.0,high,0.0,3.0,high,0.0,4.0,high,0.0,5.0,high,0.0,5.0,high,0.0,4.0,high,0.0,3.75,1126.4947891235352,0.020125,0.004025
customer_service_representative_004,Customer Service Representative,gpt-4o,5,4.0,high,0.0,2.0,high,0.0,3.0,high,0.0,3.0,high,0.0,4.0,high,0.0,4.0,high,0.0,3.1,1044.2150115966797,0.0191125,0.0038225000000000004
customer_service_representative_005,Customer Service Representative,gpt-4o,5,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,3.0,high,0.0,4.0,high,0.4898979485566356,4.0,high,0.0,2.75,1097.1412658691406,0.017525000000000002,0.0035050000000000003
customer_service_representative_006,Customer Service Representative,gpt-4o,5,7.0,high,0.0,7.0,high,0.0,8.0,high,0.0,6.0,high,0.0,7.0,high,0.0,8.0,high,0.0,7.15,1217.0555114746094,0.0203625,0.0040725
customer_service_representative_007,Customer Service Representative,gpt-4o,5,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,4.0,high,0.0,4.0,high,0.0,4.0,high,0.0,2.8,1153.438377380371,0.0187375,0.0037475
customer_service_representative_008,Customer Service Representative,gpt-4o,5,8.0,high,0.0,9.0,high,0.0,8.0,high,0.0,9.0,high,0.0,9.0,high,0.0,9.0,high,0.0,8.5,1161.4792346954346,0.028737500000000006,0.005747500000000001
customer_service_representative_009,Customer Service Representative,gpt-4o,5,8.0,high,0.0,9.0,high,0.0,8.0,high,0.0,9.0,high,0.0,9.0,high,0.0,9.0,high,0.0,8.5,1592.8589820861816,0.0288,0.0057599999999999995
customer_service_representative_010,Customer Service Representative,gpt-4o,5,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.6,880.8788776397705,0.021187499999999998,0.0042375
customer_service_representative_011,Customer Service Representative,gpt-4o,5,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,9.0,high,0.0,7.65,1355.1738739013672,0.021912500000000005,0.004382500000000001
customer_service_representative_012,Customer Service Representative,gpt-4o,5,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,8.0,high,0.4898979485566356,7.6,902.7492046356201,0.019200000000000002,0.0038400000000000005
customer_service_representative_013,Customer Service Representative,gpt-4o,5,8.0,high,0.0,8.0,high,0.0,8.0,high,0.0,9.0,high,0.0,9.0,high,0.0,9.0,high,0.0,8.15,1288.810682296753,0.027450000000000002,0.00549
customer_service_representative_014,Customer Service Representative,gpt-4o,5,8.0,high,0.0,9.0,high,0.0,8.0,high,0.0,9.0,high,0.0,9.0,high,0.0,9.0,high,0.0,8.5,1249.324369430542,0.028525000000000002,0.005705
customer_service_representative_015,Customer Service Representative,gpt-4o,5,4.0,high,0.0,3.0,high,0.0,4.0,high,0.39999999999999997,5.0,high,0.0,5.0,high,0.0,4.0,high,0.0,3.75,1412.6575946807861,0.0177375,0.0035475
customer_service_representative_016,Customer Service Representative,gpt-4o,5,4.0,high,0.4898979485566356,2.0,high,0.0,3.0,high,0.0,4.0,high,0.0,4.0,high,0.0,5.0,high,0.0,3.2,1064.5935535430908,0.018287499999999998,0.0036574999999999997
customer_service_representative_017,Customer Service Representative,gpt-4o,5,4.0,high,0.48989794855663565,3.0,high,0.4898979485566356,4.0,high,0.48989794855663565,5.0,high,0.48989794855663565,5.0,high,0.48989794855663565,5.0,high,0.48989794855663565,3.8,1290.1947498321533,0.0193375,0.0038675000000000003
customer_service_representative_018,Customer Service Representative,gpt-4o,5,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,4.0,high,0.4898979485566356,4.0,high,0.0,4.0,high,0.0,2.8,1413.107442855835,0.0186875,0.0037375
customer_service_representative_019,Customer Service Representative,gpt-4o,5,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,3.0,high,0.0,2.6,1298.1539249420166,0.0193875,0.0038775
customer_service_representative_020,Customer Service Representative,gpt-4o,5,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,4.0,high,0.0,3.0,high,0.0,4.0,high,0.0,2.75,954.0104389190674,0.018162499999999998,0.0036324999999999994
customer_service_representative_021,Customer Service Representative,gpt-4o,5,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,8.0,high,0.48989794855663565,8.0,high,0.0,9.0,high,0.0,7.7,1167.8232669830322,0.022387500000000005,0.004477500000000001
customer_service_representative_022,Customer Service Representative,gpt-4o,5,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,8.0,high,0.7483314773547883,8.0,high,0.0,9.0,high,0.0,7.7,1290.0292873382568,0.021725,0.004345
customer_service_representative_023,Customer Service Representative,gpt-4o,5,3.0,high,0.4898979485566356,3.0,high,0.39999999999999997,4.0,high,0.39999999999999997,5.0,high,0.39999999999999997,5.0,high,0.4898979485566356,4.0,high,0.0,3.4,1160.66575050354,0.0189875,0.0037975
