interview_id,role,run_idx,model,ca,exp,ps,rel,prof,comm,latency_ms,input_tokens,output_tokens,cost
customer_service_representative_001,Customer Service Representative,0,gpt-4o,4,3,5,5,5,4,1282.2620868682861,1512,33,0.004110000000000001
customer_service_representative_001,Customer Service Representative,1,gpt-4o,4,3,5,5,5,4,1097.6710319519043,1512,33,0.004110000000000001
customer_service_representative_001,Customer Service Representative,2,gpt-4o,4,3,5,5,5,4,1169.8310375213623,1512,33,0.004110000000000001
customer_service_representative_001,Customer Service Representative,3,gpt-4o,4,3,5,5,5,4,1007.2529315948486,1512,33,0.004110000000000001
customer_service_representative_001,Customer Service Representative,4,gpt-4o,4,3,5,5,5,4,1127.0229816436768,1512,33,0.004110000000000001
customer_service_representative_002,Customer Service Representative,0,gpt-4o,3,2,3,4,4,4,1023.1120586395264,1341,33,0.0036825
customer_service_representative_002,Customer Service Representative,1,gpt-4o,3,2,3,4,4,3,1314.8880004882812,1341,33,0.0036825
customer_service_representative_002,Customer Service Representative,2,gpt-4o,3,2,3,4,4,4,1145.967960357666,1341,33,0.0036825
customer_service_representative_002,Customer Service Representative,3,gpt-4o,3,2,3,4,4,4,1043.116807937622,1341,33,0.0036825
customer_service_representative_002,Customer Service Representative,4,gpt-4o,3,2,3,4,4,4,1309.8387718200684,1341,33,0.0036825
customer_service_representative_003,Customer Service Representative,0,gpt-4o,4,3,4,5,5,4,1039.2861366271973,1478,33,0.004025
customer_service_representative_003,Customer Service Representative,1,gpt-4o,4,3,4,5,5,4,1314.5971298217773,1478,33,0.004025
customer_service_representative_003,Customer Service Representative,2,gpt-4o,4,3,4,5,5,4,1008.1028938293457,1478,33,0.004025
customer_service_representative_003,Customer Service Representative,3,gpt-4o,4,3,4,5,5,4,1142.8508758544922,1478,33,0.004025
customer_service_representative_003,Customer Service Representative,4,gpt-4o,4,3,4,5,5,4,1127.6369094848633,1478,33,0.004025
customer_service_representative_004,Customer Service Representative,0,gpt-4o,4,2,3,3,4,4,1039.1199588775635,1397,33,0.0038225
customer_service_representative_004,Customer Service Representative,1,gpt-4o,4,2,3,3,4,4,774.9118804931641,1397,33,0.0038225
customer_service_representative_004,Customer Service Representative,2,gpt-4o,4,2,3,3,4,4,1172.1816062927246,1397,33,0.0038225
customer_service_representative_004,Customer Service Representative,3,gpt-4o,4,2,3,3,4,4,1006.2048435211182,1397,33,0.0038225
customer_service_representative_004,Customer Service Representative,4,gpt-4o,4,2,3,3,4,4,1228.6567687988281,1397,33,0.0038225
customer_service_representative_005,Customer Service Representative,0,gpt-4o,3,2,3,3,3,4,927.3076057434082,1270,33,0.0035050000000000003
customer_service_representative_005,Customer Service Representative,1,gpt-4o,3,2,3,3,4,4,1107.8057289123535,1270,33,0.0035050000000000003
customer_service_representative_005,Customer Service Representative,2,gpt-4o,3,2,3,3,3,4,1140.2218341827393,1270,33,0.0035050000000000003
customer_service_representative_005,Customer Service Representative,3,gpt-4o,3,2,3,3,4,4,1055.4571151733398,1270,33,0.0035050000000000003
customer_service_representative_005,Customer Service Representative,4,gpt-4o,3,2,3,3,4,4,1254.9140453338623,1270,33,0.0035050000000000003
customer_service_representative_006,Customer Service Representative,0,gpt-4o,7,7,8,6,7,8,1023.0042934417725,1497,33,0.0040725
customer_service_representative_006,Customer Service Representative,1,gpt-4o,7,7,8,6,7,8,1101.670742034912,1497,33,0.0040725
customer_service_representative_006,Customer Service Representative,2,gpt-4o,7,7,8,6,7,8,907.3421955108643,1497,33,0.0040725
customer_service_representative_006,Customer Service Representative,3,gpt-4o,7,7,8,6,7,8,1016.3891315460205,1497,33,0.0040725
customer_service_representative_006,Customer Service Representative,4,gpt-4o,7,7,8,6,7,8,2036.8711948394775,1497,33,0.0040725
customer_service_representative_007,Customer Service Representative,0,gpt-4o,3,2,3,4,4,4,1306.4641952514648,1367,33,0.0037475
customer_service_representative_007,Customer Service Representative,1,gpt-4o,3,2,3,4,4,4,845.1368808746338,1367,33,0.0037475
customer_service_representative_007,Customer Service Representative,2,gpt-4o,3,2,3,4,4,4,1329.8840522766113,1367,33,0.0037475
customer_service_representative_007,Customer Service Representative,3,gpt-4o,3,2,3,4,4,4,1228.0528545379639,1367,33,0.0037475
customer_service_representative_007,Customer Service Representative,4,gpt-4o,3,2,3,4,4,4,1057.6539039611816,1367,33,0.0037475
customer_service_representative_008,Customer Service Representative,0,gpt-4o,8,9,8,9,9,9,1810.7399940490723,2167,33,0.005747500000000001
customer_service_representative_008,Customer Service Representative,1,gpt-4o,8,9,8,9,9,9,1023.8151550292969,2167,33,0.005747500000000001
customer_service_representative_008,Customer Service Representative,2,gpt-4o,8,9,8,9,9,9,1079.8399448394775,2167,33,0.005747500000000001
customer_service_representative_008,Customer Service Representative,3,gpt-4o,8,9,8,9,9,9,973.5560417175293,2167,33,0.005747500000000001
customer_service_representative_008,Customer Service Representative,4,gpt-4o,8,9,8,9,9,9,919.4450378417969,2167,33,0.005747500000000001
customer_service_representative_009,Customer Service Representative,0,gpt-4o,8,9,8,9,9,9,1207.8640460968018,2172,33,0.0057599999999999995
customer_service_representative_009,Customer Service Representative,1,gpt-4o,8,9,8,9,9,9,1434.6160888671875,2172,33,0.0057599999999999995
customer_service_representative_009,Customer Service Representative,2,gpt-4o,8,9,8,9,9,9,3511.713981628418,2172,33,0.0057599999999999995
customer_service_representative_009,Customer Service Representative,3,gpt-4o,8,9,8,9,9,9,906.5029621124268,2172,33,0.0057599999999999995
customer_service_representative_009,Customer Service Representative,4,gpt-4o,8,9,8,9,9,9,903.5978317260742,2172,33,0.0057599999999999995
customer_service_representative_010,Customer Service Representative,0,gpt-4o,8,7,8,7,8,8,941.8361186981201,1563,33,0.0042375
customer_service_representative_010,Customer Service Representative,1,gpt-4o,8,7,8,7,8,8,1023.7002372741699,1563,33,0.0042375
customer_service_representative_010,Customer Service Representative,2,gpt-4o,8,7,8,7,8,8,1023.2069492340088,1563,33,0.0042375
customer_service_representative_010,Customer Service Representative,3,gpt-4o,8,7,8,7,8,8,716.198205947876,1563,33,0.0042375
customer_service_representative_010,Customer Service Representative,4,gpt-4o,8,7,8,7,8,8,699.4528770446777,1563,33,0.0042375
customer_service_representative_011,Customer Service Representative,0,gpt-4o,8,7,8,7,8,9,1452.493667602539,1621,33,0.004382500000000001
customer_service_representative_011,Customer Service Representative,1,gpt-4o,8,7,8,7,8,9,867.8247928619385,1621,33,0.004382500000000001
customer_service_representative_011,Customer Service Representative,2,gpt-4o,8,7,8,7,8,9,1095.6828594207764,1621,33,0.004382500000000001
customer_service_representative_011,Customer Service Representative,3,gpt-4o,8,7,8,7,8,9,2153.5580158233643,1621,33,0.004382500000000001
customer_service_representative_011,Customer Service Representative,4,gpt-4o,8,7,8,7,8,9,1206.3100337982178,1621,33,0.004382500000000001
customer_service_representative_012,Customer Service Representative,0,gpt-4o,8,7,8,7,8,9,1128.60107421875,1404,33,0.00384
customer_service_representative_012,Customer Service Representative,1,gpt-4o,8,7,8,7,8,8,816.3430690765381,1404,33,0.00384
customer_service_representative_012,Customer Service Representative,2,gpt-4o,8,7,8,7,8,8,818.9949989318848,1404,33,0.00384
customer_service_representative_012,Customer Service Representative,3,gpt-4o,8,7,8,7,8,8,894.3500518798828,1404,33,0.00384
customer_service_representative_012,Customer Service Representative,4,gpt-4o,8,7,8,7,8,9,855.4568290710449,1404,33,0.00384
customer_service_representative_013,Customer Service Representative,0,gpt-4o,8,8,8,9,9,9,1221.1201190948486,2064,33,0.00549
customer_service_representative_013,Customer Service Representative,1,gpt-4o,8,8,8,9,9,9,2012.2523307800293,2064,33,0.00549
customer_service_representative_013,Customer Service Representative,2,gpt-4o,8,8,8,9,9,9,1365.2732372283936,2064,33,0.00549
customer_service_representative_013,Customer Service Representative,3,gpt-4o,8,8,8,9,9,9,923.0349063873291,2064,33,0.00549
customer_service_representative_013,Customer Service Representative,4,gpt-4o,8,8,8,9,9,9,922.3728179931641,2064,33,0.00549
customer_service_representative_014,Customer Service Representative,0,gpt-4o,8,9,8,9,9,9,1022.5439071655273,2150,33,0.005705
customer_service_representative_014,Customer Service Representative,1,gpt-4o,8,9,8,9,9,9,1537.5878810882568,2150,33,0.005705
customer_service_representative_014,Customer Service Representative,2,gpt-4o,8,9,8,9,9,9,1043.501853942871,2150,33,0.005705
customer_service_representative_014,Customer Service Representative,3,gpt-4o,8,9,8,9,9,9,1207.0660591125488,2150,33,0.005705
customer_service_representative_014,Customer Service Representative,4,gpt-4o,8,9,8,9,9,9,1435.9221458435059,2150,33,0.005705
customer_service_representative_015,Customer Service Representative,0,gpt-4o,4,3,4,5,5,4,1737.4918460845947,1287,33,0.0035475
customer_service_representative_015,Customer Service Representative,1,gpt-4o,4,3,4,5,5,4,1045.5951690673828,1287,33,0.0035475
customer_service_representative_015,Customer Service Representative,2,gpt-4o,4,3,3,5,5,4,1120.7480430603027,1287,33,0.0035475
customer_service_representative_015,Customer Service Representative,3,gpt-4o,4,3,4,5,5,4,1520.0068950653076,1287,33,0.0035475
customer_service_representative_015,Customer Service Representative,4,gpt-4o,4,3,4,5,5,4,1639.4460201263428,1287,33,0.0035475
customer_service_representative_016,Customer Service Representative,0,gpt-4o,4,2,3,4,4,5,941.8768882751465,1331,33,0.0036574999999999997
customer_service_representative_016,Customer Service Representative,1,gpt-4o,4,2,3,4,4,5,1002.0279884338379,1331,33,0.0036574999999999997
customer_service_representative_016,Customer Service Representative,2,gpt-4o,4,2,3,4,4,5,1263.0441188812256,1331,33,0.0036574999999999997
customer_service_representative_016,Customer Service Representative,3,gpt-4o,3,2,3,4,4,5,1092.2667980194092,1331,33,0.0036574999999999997
customer_service_representative_016,Customer Service Representative,4,gpt-4o,3,2,3,4,4,5,1023.751974105835,1331,33,0.0036574999999999997
customer_service_representative_017,Customer Service Representative,0,gpt-4o,4,3,4,5,5,4,1331.4037322998047,1415,33,0.0038675
customer_service_representative_017,Customer Service Representative,1,gpt-4o,4,3,4,5,5,4,1434.391975402832,1415,33,0.0038675
customer_service_representative_017,Customer Service Representative,2,gpt-4o,4,3,4,5,5,5,1044.5199012756348,1415,33,0.0038675
customer_service_representative_017,Customer Service Representative,3,gpt-4o,5,4,5,6,6,5,1616.5142059326172,1415,33,0.0038675
customer_service_representative_017,Customer Service Representative,4,gpt-4o,5,4,5,6,6,5,1024.143934249878,1415,33,0.0038675
customer_service_representative_018,Customer Service Representative,0,gpt-4o,3,2,3,4,4,4,1330.8289051055908,1363,33,0.0037375
customer_service_representative_018,Customer Service Representative,1,gpt-4o,3,2,3,3,4,4,1228.8131713867188,1363,33,0.0037375
customer_service_representative_018,Customer Service Representative,2,gpt-4o,3,2,3,3,4,4,921.4849472045898,1363,33,0.0037375
customer_service_representative_018,Customer Service Representative,3,gpt-4o,3,2,3,4,4,4,746.5529441833496,1363,33,0.0037375
customer_service_representative_018,Customer Service Representative,4,gpt-4o,3,2,3,4,4,4,2837.857246398926,1363,33,0.0037375
customer_service_representative_019,Customer Service Representative,0,gpt-4o,3,2,3,2,3,3,1741.689920425415,1419,33,0.0038775
customer_service_representative_019,Customer Service Representative,1,gpt-4o,3,2,3,2,3,3,1128.492832183838,1419,33,0.0038775
customer_service_representative_019,Customer Service Representative,2,gpt-4o,3,2,3,2,3,3,1130.3510665893555,1419,33,0.0038775
customer_service_representative_019,Customer Service Representative,3,gpt-4o,3,2,3,2,3,3,1551.6197681427002,1419,33,0.0038775
customer_service_representative_019,Customer Service Representative,4,gpt-4o,3,2,3,2,3,3,938.6160373687744,1419,33,0.0038775
customer_service_representative_020,Customer Service Representative,0,gpt-4o,3,2,3,4,3,4,974.229097366333,1321,33,0.0036325
customer_service_representative_020,Customer Service Representative,1,gpt-4o,3,2,3,4,3,4,802.8340339660645,1321,33,0.0036325
customer_service_representative_020,Customer Service Representative,2,gpt-4o,3,2,3,4,3,4,948.5101699829102,1321,33,0.0036325
customer_service_representative_020,Customer Service Representative,3,gpt-4o,3,2,3,4,3,4,792.4747467041016,1321,33,0.0036325
customer_service_representative_020,Customer Service Representative,4,gpt-4o,3,2,3,4,3,4,1252.0041465759277,1321,33,0.0036325
customer_service_representative_021,Customer Service Representative,0,gpt-4o,8,7,8,8,8,9,1053.3502101898193,1659,33,0.004477500000000001
customer_service_representative_021,Customer Service Representative,1,gpt-4o,8,7,8,9,8,9,1611.1087799072266,1659,33,0.004477500000000001
customer_service_representative_021,Customer Service Representative,2,gpt-4o,8,7,8,9,8,9,1332.1542739868164,1659,33,0.004477500000000001
customer_service_representative_021,Customer Service Representative,3,gpt-4o,8,7,8,8,8,9,920.6061363220215,1659,33,0.004477500000000001
customer_service_representative_021,Customer Service Representative,4,gpt-4o,8,7,8,8,8,9,921.8969345092773,1659,33,0.004477500000000001
customer_service_representative_022,Customer Service Representative,0,gpt-4o,8,7,8,9,8,9,1233.363151550293,1606,33,0.004345
